Taille moyenne_tableau maximum_tableau moyenne_arbre maximum_arbre
100 0,35581 1,69289 0,48934 2,31899
200 0,1597 0,68064 0,22348 0,95363
500 0,29047 1,21925 0,53814 2,36428
1000 0,31502 1,09507 0,35228 1,16897
5000 1,55184 4,12333 1,6158 4,73165
10000 2,05685 3,72271 4,0038 10,6469
20000 3,66994 4,02653 5,38438 6,55535
50000 8,78009 9,62755 12,05961 14,30253
