Taille moyenne_tableau maximum_tableau moyenne_arbre maximum_arbre
100 0,39305 1,41377 0,064 0,386
200 0,32453 0,72892 0,011 0,033
500 0,79033 1,64765 0,024 0,103
1000 1,49741 3,49766 0,019 0,049
5000 6,17242 13,28331 0,024 0,083
10000 13,75979 36,44073 0,018 0,045
20000 17,86647 21,22809 0,02 0,079
50000 50,0578 54,77799 0,016 0,039
