Taille moyenne maximum
100 0,48934 2,31899
200 0,22348 0,95363
500 0,53814 2,36428
1000 0,35228 1,16897
5000 1,6158 4,73165
10000 4,0038 10,6469
20000 5,38438 6,55535
50000 12,05961 14,30253
