Taille Moyenne_tableau Maximum_tableau Moyenne_arbre Maximum_arbre
100 0,39305 1,41377 0,47959 2,02401
200 0,32453 0,72892 0,36793 0,82517
500 0,79033 1,64765 0,90504 2,20372
1000 1,49741 3,49766 1,58513 4,91283
5000 6,17242 13,28331 6,91441 13,82123
10000 13,75979 36,44073 11,19976 15,68609
20000 17,86647 21,22809 21,39852 26,3894
50000 50,0578 54,77799 58,73878 85,95515

