Taille moyenne maximum
100 0,00551 0,05142
200 0,00325 0,01652
500 0,00494 0,10722
1000 0,00426 0,10208
5000 0,00309 0,11675
10000 0,00285 0,14016
20000 0,00251 0,02338
50000 0,00324 0,14771
