Taille moyenne maximum
100 0,00154 0,02292
200 0,00099 0,01052
500 0,00065 0,01307
1000 0,00057 0,00673
5000 0,00431 9,51818
10000 0,0005 0,02358
20000 0,0004 0,21596
50000 0,00029 0,02069
